title,author,additional_authors,my_rating,avg_rating,publisher,binding,pages,year_published,month_read,year_read
My Custom Van: And 50 Other Mind-Blowing Essays that Will Blow Your Mind All Over Your Face,"Black, Michael Ian",,5,3.66,Gallery Books,Hardcover,240,2008,January,2014
"My Life as a Furry Red Monster: What Being Elmo Has Taught Me About Life, Love and Laughing Out Loud","Clash, Kevin",Gary Brozek,3,3.62,Crown Archetype,Hardcover,224,2006,January,2012
Never Mind Nirvana: A Novel,"Lindquist, Mark",,4,3.62,Villard,Hardcover,256,2000,April,2013
Night Film,"Pessl, Marisha",,4,3.76,Random House,Hardcover,602,2013,December,2013
No Country for Old Men,"McCarthy, Cormac",,5,4.11,Alfred A. Knopf,Hardcover,309,2005,January,2013
Nobody's Fool,"Russo, Richard",,5,4.12,Vintage,Hardcover,549,1993,December,2014
"Notorious (It Girl, #2)","Ziegesar, Cecily von",,4,3.74,Poppy,Paperback,288,2006,January,2015
"October, 1964","Halberstam, David",,3,4.12,Niagara,Hardcover,576,1994,October,2011
On Equality of Educational Opportunity,"Mosteller, Frederick",Daniel Patrick Moynihan,4,4,Random House (NY),Hardcover,570,1972,January,2014
Once Upon a Fastball,"Mitchell, Bob",,3,2.97,Kensington,Hardcover,288,2008,January,2011
"Once Upon a Time in Computerland: The Amazing, Billion-Dollar Tale of Bill Millard","Littman, Jonathan",,3,4,Simon & Schuster,Paperback,413,1987,January,2015
One Mississippi,"Childress, Mark",,5,3.67,"Little, Brown and Company",Hardcover,400,2006,June,2014
Pirate Latitudes,"Crichton, Michael",,4,3.36,Harper,Hardcover,312,2009,January,2012
Playing for Pizza,"Grisham, John",,4,3.38,Doubleday Books,Hardcover,262,2007,May,2013
Polar,"Pearson, T.R.",,4,3.79,Viking Adult,Hardcover,244,2002,April,2014
Praying for Sleep,"Deaver, Jeffery",,4,3.79,Viking Books,Hardcover,437,1994,October,2011
Purple Dots: A Novel,"Lehrer, Jim",,4,3.24,Random House,Hardcover,262,1998,September,2012
Ransom,"McInerney, Jay",,4,3.27,Vintage,Hardcover,279,1985,February,2014
Ray Christensen's Gopher Tales: Stories from All Eleven University of Minnesota's Men's Sports,"Christensen, Ray",,4,4.5,Sports Publishing LLC,Hardcover,204,2002,June,2012
Ready Player One,"Cline, Ernest",,5,4.31,Random House NY,Hardcover,374,2011,April,2015
Reamde,"Stephenson, Neal",,4,3.94,William Morrow,Hardcover,1044,2011,July,2014
"Reckless (It Girl, #3)","Ziegesar, Cecily von",,4,3.76,Poppy,Paperback,288,2006,May,2015
Rembrandt's Whore,"Matton, Sylvie",,2,3.38,Canongate Books,Hardcover,208,2002,July,2011
Restitution,"Vance, Lee",,4,3.51,Knopf,Hardcover,336,2007,April,2015
"Revenge Wears Prada: The Devil Returns (The Devil Wears Prada, #2)","Weisberger, Lauren",,3,2.78,Simon & Schuster,Hardcover,400,2015,July,2013
"Rogue Warrior (Rogue Warrior, #1)","Marcinko, Richard",,3,3.94,Atria Books,Hardcover,336,1992,November,2014
Saint Mudd,"Thayer, Steve",,4,3.78,Signet,Hardcover,384,1988,July,2015
SEAL Team Six: Memoirs of an Elite Navy SEAL Sniper,"Wasdin, Howard E.",Stephen Templin,4,3.98,St. Martin's Press,Hardcover,331,2011,March,2014
Sex and the Single Zillionaire: A Novel,"Perkins, Tom",,3,2.56,William Morrow,Hardcover,304,2006,July,2011
Signifying Rappers: Rap and Race in the Urban Present,"Costello, Mark",David Foster Wallace,5,3.33,Ecco Press,Paperback,140,1990,August,2015
Skate for Goal! Highlights from Minnesota's State Hockey Tournamant,"Phillips, Gary L.",,5,5,Afton Press,Paperback,123,1982,June,2015
Slam,"Hornby, Nick",,5,3.27,G.P. Putnam's Sons Books for Young Readers,Hardcover,309,2007,December,2010
Solar,"McEwan, Ian",,4,3.21,Random House,Hardcover,287,2010,December,2014
Speak of the Devil: a Novel,"Hawke, Richard",,4,3.54,Random House,Hardcover,336,2006,May,2011
Speaking In Tongues,"Deaver, Jeffery",,5,3.75,Simon & Schuster,Hardcover,336,1995,February,2011
Statistical Evidence,"Royall, Richard",,4,4,CRC Press,Hardcover,191,1997,April,2013
Statistics Done Wrong: The Woefully Complete Guide,"Reinhart, Alex",,4,4.15,No Starch Press,Paperback,176,2013,May,2015
Statler Bros. Random Memories,"Reid, Harold",Don Reid,4,4.41,Yell Publishing Company,Hardcover,288,2008,July,2011
Steve Jobs,"Isaacson, Walter",,4,4.09,Simon & Schuster,Hardcover,656,2011,September,2014
Story of My Life,"McInerney, Jay",,4,3.58,Atlantic Monthly Press,Hardcover,189,1988,August,2013
Straight Man,"Russo, Richard",,5,4.02,Random House USA Inc,Hardcover,391,1997,November,2013
Stylized: A Slightly Obsessive History of Strunk & White's The Elements of Style,"Garvey, Mark",,3,3.76,Touchstone,Hardcover,208,2009,January,2011
Success,"Amis, Martin",,4,3.65,Harmony,Hardcover,224,1978,February,2013
