Institution,State,Debt
Polk State College,FL,5500
St Petersburg College,FL,11250
Santa Fe College,FL,8750
Seminole State College of Florida,FL,7500
Saint Johns River State College,FL,8981
South Florida State College,FL,3787
University of South Florida-Main Campus,FL,16954
Tallahassee Community College,FL,7361
Valencia College,FL,7000
The University of West Florida,FL,12500
New College of Florida,FL,12336
Florida Gulf Coast University,FL,11625
University of South Florida-St Petersburg,FL,16954
University of South Florida-Sarasota-Manatee,FL,16954
Abraham Baldwin Agricultural College,GA,8198
Albany Technical College,GA,4917
Darton State College,GA,8250
Albany State University,GA,24500
Armstrong Atlantic State University,GA,12750
Atlanta Technical College,GA,5830
Atlanta Metropolitan State College,GA,4709
Augusta Technical College,GA,6334
Bainbridge State College,GA,8000
College of Coastal Georgia,GA,7711
West Georgia Technical College,GA,4893
Clayton State University,GA,18997
Columbus Technical College,GA,6270
Columbus State University,GA,14750
Georgia Northwestern Technical College,GA,4981
Dalton State College,GA,7500
East Georgia State College,GA,7248
Georgia Highlands College,GA,5500
Fort Valley State University,GA,19000
Grady Health System Professional Schools,GA,15962
Georgia Institute of Technology-Main Campus,GA,20750
Georgia Southwestern State University,GA,14500
Georgia College and State University,GA,16250
Georgia Military College,GA,6076
Georgia Southern University,GA,16250
Georgia State University,GA,17070
University of Georgia,GA,16831
Gordon State College,GA,8250
Southern Crescent Technical College,GA,5500
Gwinnett Technical College,GA,5769
Kennesaw State University,GA,15000
North Georgia Technical College,GA,4542
Savannah Technical College,GA,4500
Savannah State University,GA,17126
South Georgia Technical College,GA,793
Southern Polytechnic State University,GA,14750
Wiregrass Georgia Technical College,GA,2864
Valdosta State University,GA,16000
University of West Georgia,GA,14250
Georgia Perimeter College,GA,7000
Georgia Piedmont Technical College,GA,4664
Ogeechee Technical College,GA,6334
Southeastern Technical College,GA,6000
Oconee Fall Line Technical College,GA,3903
Georgia Gwinnett College,GA,9441
Georgia Regents University,GA,6250
Middle Georgia State College,GA,8000
University of North Georgia,GA,7500
South Georgia State College,GA,7359
Georgia Military College-Distance Learning Campuses,GA,6076
Central Georgia Technical College,GA,3133
GMC-Sandersville,GA,6076
GMC-Madison,GA,6076
Georgia Military College-Augusta Campus,GA,6076
Georgia Military College-Fairburn Campus,GA,6076
Georgia Military College-Columbus Campus,GA,6076
Georgia Military College-Valdosta Campus,GA,6076
Georgia Military College-Warner Robins Campus,GA,6076
Georgia Military College-Online,GA,6076
Georgia Military College-Stone Mountain,GA,6076
University of Hawaii at Hilo,HI,11293
University of Hawaii at Manoa,HI,13750
Honolulu Community College,HI,3750
Kapiolani Community College,HI,5737
Kauai Community College,HI,4300
Leeward Community College,HI,4696
University of Hawaii Maui College,HI,9500
University of Hawaii-West Oahu,HI,8045
Windward Community College,HI,6500
Hawaii Community College,HI,6481
Des Moines Area Community College,IA,7000
Ellsworth Community College,IA,6500
Eastern Iowa Community College District,IA,8226
Hawkeye Community College,IA,9000
Indian Hills Community College,IA,9348
Iowa Central Community College,IA,7362
Iowa Lakes Community College,IA,9367
Iowa State University,IA,19750
Iowa Western Community College,IA,6900
University of Iowa,IA,18692
Kirkwood Community College,IA,8836
Marshalltown Community College,IA,8250
North Iowa Area Community College,IA,7035
University of Northern Iowa,IA,18500
Northeast Iowa Community College-Calmar,IA,8829
Northwest Iowa Community College,IA,7000
Southeastern Community College,IA,6700
Southwestern Community College,IA,7442
Western Iowa Tech Community College,IA,6933
Boise State University,ID,16309
Eastern Idaho Technical College,ID,9500
Idaho State University,ID,14750
University of Idaho,ID,18550
Lewis-Clark State College,ID,12500
North Idaho College,ID,8808
College of Southern Idaho,ID,8005
College of Western Idaho,ID,4500
Southwestern Illinois College,IL,4316
Black Hawk College,IL,4000
Carl Sandburg College,IL,3500
Chicago State University,IL,20862
City Colleges of Chicago-Kennedy-King College,IL,4500
City Colleges of Chicago-Malcolm X College,IL,3500
City Colleges of Chicago-Olive-Harvey College,IL,4802
City Colleges of Chicago-Harry S Truman College,IL,4703
City Colleges of Chicago-Richard J Daley College,IL,3500
City Colleges of Chicago-Harold Washington College,IL,3500
City Colleges of Chicago-Wilbur Wright College,IL,3500
Danville Area Community College,IL,3500
College of DuPage,IL,5543
Eastern Illinois University,IL,18750
Elgin Community College,IL,5010
Governors State University,IL,13804
Highland Community College,IL,5500
University of Illinois at Chicago,IL,14750
University of Illinois at Urbana-Champaign,IL,19399
Illinois Central College,IL,4540
Olney Central College,IL,3500
Illinois State University,IL,18750
Illinois Valley Community College,IL,6208
John A Logan College,IL,3500
John Wood Community College,IL,5931
Joliet Junior College,IL,5215
Kankakee Community College,IL,5711
Kaskaskia College,IL,5500
Kishwaukee College,IL,5500
College of Lake County,IL,4298
Lake Land College,IL,3500
Lewis and Clark Community College,IL,3500
Lincoln Land Community College,IL,5500
McHenry County College,IL,4425
Moraine Valley Community College,IL,5500
Morton College,IL,6450
Northern Illinois University,IL,16500
Northeastern Illinois University,IL,11643
Oakton Community College,IL,3500
Parkland College,IL,5198
Prairie State College,IL,5500
Rend Lake College,IL,5500
Richland Community College,IL,4112
Rock Valley College,IL,3512
University of Illinois at Springfield,IL,15000
Sauk Valley Community College,IL,3500
Spoon River College,IL,4718
Southern Illinois University-Carbondale,IL,15245
Southern Illinois University-Edwardsville,IL,14317
Triton College,IL,4750
Waubonsee Community College,IL,4761
Western Illinois University,IL,17729
Harper College,IL,6668
Capital Area School of Practical Nursing,IL,9500
Heartland Community College,IL,5392
Frontier Community College,IL,4750
Lincoln Trail College,IL,3500
Wabash Valley College,IL,3500
Career Center of Southern Illinois,IL,11353
Ball State University,IN,18686
Ivy Tech Community College,IN,7322
Indiana University-Purdue University-Fort Wayne,IN,15517
Indiana University-Purdue University-Indianapolis,IN,16500
University of Southern Indiana,IN,13500
Indiana State University,IN,11726
Indiana University-Kokomo,IN,12050
Indiana University-South Bend,IN,14000
Indiana University-Bloomington,IN,19500
Indiana University-Northwest,IN,14950
Indiana University-Southeast,IN,12500
Indiana University-East,IN,13336
J Everett Light Career Center,IN,9500
Purdue University-Calumet Campus,IN,16000
Purdue University-North Central Campus,IN,12285
Vincennes University,IN,9500
Purdue University-Main Campus,IN,20500
Ivy Tech Community College-Northcentral,IN,7322
Ivy Tech Community College-Columbus,IN,7322
Ivy Tech Community College-East Central,IN,7322
Ivy Tech Community College-Kokomo,IN,7322
Ivy Tech Community College-Lafayette,IN,7322
Ivy Tech Community College-Northeast,IN,7322
Ivy Tech Community College-South Central,IN,7322
Ivy Tech Community College-Southwest,IN,7322
Ivy Tech Community College-Wabash Valley,IN,7322
Ivy Tech Community College-Richmond,IN,7322
Ivy Tech Community College-Northwest,IN,7322
Ivy Tech Community College-Southeast,IN,7322
Ivy Tech Community College-Bloominton,IN,7322
Ivy Tech Community College-Central Indiana,IN,7322
Allen County Community College,KS,5125
Barton County Community College,KS,7319
Butler Community College,KS,6500
Cloud County Community College,KS,5500
Coffeyville Community College,KS,5250
Colby Community College,KS,5533
Cowley County Community College,KS,5721
Dodge City Community College,KS,5500
Emporia State University,KS,14000
Flint Hills Technical College,KS,9500
Fort Hays State University,KS,11606
Fort Scott Community College,KS,5679
Garden City Community College,KS,4969
Highland Community College,KS,6098
Hutchinson Community College,KS,6094
Independence Community College,KS,3118
Johnson County Community College,KS,5500
Kansas City Kansas Community College,KS,8250
University of Kansas,KS,14799
Kansas State University,KS,17000
Washburn Institute of Technology,KS,13228
Labette Community College,KS,5606
Manhattan Area Technical College,KS,8000
Neosho County Community College,KS,5500
North Central Kansas Technical College,KS,9500
Northwest Kansas Technical College,KS,7564
Pittsburg State University,KS,13377
Pratt Community College,KS,5500
Salina Area Technical College,KS,5500
Seward County Community College and Area Technical School,KS,4500
Washburn University,KS,13228
Wichita Area Technical College,KS,6604
Wichita State University,KS,15250
Coffeyville Technical Campus,KS,5250
Columbus Technical Campus,KS,5250
Ashland Community and Technical College,KY,7233
Southcentral Kentucky Community and Technical College,KY,8210
Bluegrass Community and Technical College,KY,8000
Eastern Kentucky University,KY,14921
Elizabethtown Community and Technical College,KY,7599
Hazard Community and Technical College,KY,7014
Henderson Community College,KY,6500
Hopkinsville Community College,KY,7234
Jefferson Community and Technical College,KY,7597
Kentucky State University,KY,14750
University of Kentucky,KY,14000
University of Louisville,KY,13300
Madisonville Community College,KY,7253
Maysville Community and Technical College,KY,8421
Morehead State University,KY,14250
Murray State University,KY,14875
Gateway Community and Technical College,KY,9500
Northern Kentucky University,KY,15000
West Kentucky Community and Technical College,KY,7033
Big Sandy Community and Technical College,KY,7495
Somerset Community College,KY,8500
Southeast Kentucky Community and Technical College,KY,6648
Western Kentucky University,KY,15000
Owensboro Community and Technical College,KY,6008
Bossier Parish Community College,LA,8641
Delgado Community College,LA,9357
Nunez Community College,LA,3500
Grambling State University,LA,23750
Louisiana State University Health Sciences Center-New Orleans,LA,15000
Louisiana State University-Alexandria,LA,9000
Louisiana State University and Agricultural & Mechanical College,LA,13000
Louisiana State University-Eunice,LA,7704
Louisiana State University-Shreveport,LA,12500
Acadiana Technical College-Lafayette Campus,LA,1750
Louisiana Tech University,LA,13632
McNeese State University,LA,12806
University of New Orleans,LA,11750
Nicholls State University,LA,11555
University of Louisiana at Monroe,LA,12708
Northwestern State University of Louisiana,LA,14000
Southeastern Louisiana University,LA,11670
Southern University and A & M College,LA,24250
Southern University at New Orleans,LA,18442
Southern University at Shreveport,LA,8467
University of Louisiana at Lafayette,LA,13000
Northshore Technical Community College,LA,2500
South Louisiana Community College,LA,1750
Louisiana State University Health Sciences Center-Shreveport,LA,25000
River Parishes Community College,LA,7192
Baton Rouge Community College,LA,5091
Southern University Law Center,LA,24250
Assabet Valley Regional Technical School,MA,9500
Berkshire Community College,MA,7177
Bridgewater State University,MA,19250
Bristol Community College,MA,3725
Bunker Hill Community College,MA,5500
Cape Cod Community College,MA,5500
