Institution,State,Debt
University of Vermont,VT,18878
Bellevue College,WA,8822
Bellingham Technical College,WA,11000
Big Bend Community College,WA,7585
Central Washington University,WA,15916
Centralia College,WA,1750
Clark College,WA,7633
Clover Park Technical College,WA,10500
Columbia Basin College,WA,7000
Eastern Washington University,WA,15265
Edmonds Community College,WA,8000
Everett Community College,WA,7562
The Evergreen State College,WA,14830
Pierce College at Fort Steilacoom,WA,7978
Grays Harbor College,WA,7802
Green River Community College,WA,6957
Highline Community College,WA,7070
Bates Technical College,WA,4775
Lake Washington Institute of Technology,WA,10176
Lower Columbia College,WA,8518
Seattle Community College-North Campus,WA,3000
Olympic College,WA,7832
Peninsula College,WA,8251
Renton Technical College,WA,6113
Seattle Community College-South Campus,WA,1750
Seattle Central College,WA,3500
Shoreline Community College,WA,6933
Skagit Valley College,WA,8617
South Puget Sound Community College,WA,6161
Spokane Community College,WA,9070
Spokane Falls Community College,WA,7000
Tacoma Community College,WA,9500
Walla Walla Community College,WA,9126
Washington State University,WA,15736
University of Washington-Seattle Campus,WA,14793
Wenatchee Valley College,WA,8982
Western Washington University,WA,15500
Whatcom Community College,WA,7650
Yakima Valley Community College,WA,8018
University of Washington-Bothell Campus,WA,14793
University of Washington-Tacoma Campus,WA,14793
Seattle Vocational Institute,WA,3500
Pierce College at Puyallup,WA,7978
Cascadia Community College,WA,5500
Washington State University-Vancouver,WA,15736
Washington State University-Spokane,WA,15736
Washington State University-Tri Cities,WA,15736
Madison Area Technical College,WI,9250
Blackhawk Technical College,WI,7000
Fox Valley Technical College,WI,6458
Gateway Technical College,WI,7000
Lakeshore Technical College,WI,6500
Mid-State Technical College,WI,6645
Milwaukee Area Technical College,WI,7000
Moraine Park Technical College,WI,6750
Nicolet Area Technical College,WI,5750
Northcentral Technical College,WI,6750
Northeast Wisconsin Technical College,WI,8419
Southwest Wisconsin Technical College,WI,6125
University of Wisconsin Colleges,WI,6349
Chippewa Valley Technical College,WI,9500
Waukesha County Technical College,WI,9500
Western Technical College,WI,8500
University of Wisconsin-Whitewater,WI,18681
Wisconsin Indianhead Technical College,WI,6250
University of Wisconsin-Eau Claire,WI,17823
University of Wisconsin-Green Bay,WI,14549
University of Wisconsin-La Crosse,WI,18428
University of Wisconsin-Oshkosh,WI,16852
University of Wisconsin-Parkside,WI,14054
University of Wisconsin-Stout,WI,18015
University of Wisconsin-Superior,WI,14616
University of Wisconsin-Madison,WI,21000
University of Wisconsin-Milwaukee,WI,17459
University of Wisconsin-Platteville,WI,15750
University of Wisconsin-River Falls,WI,18225
University of Wisconsin-Stevens Point,WI,18700
Bluefield State College,WV,13000
Concord University,WV,11028
Fairmont State University,WV,14210
Glenville State College,WV,13282
Marshall University,WV,14726
West Virginia University at Parkersburg,WV,8173
Potomac State College of West Virginia University,WV,14625
Shepherd University,WV,14000
Southern West Virginia Community and Technical College,WV,4000
West Virginia School of Osteopathic Medicine,WV,2000
West Virginia State University,WV,12916
West Liberty University,WV,15000
West Virginia University Institute of Technology,WV,14625
West Virginia Northern Community College,WV,6281
West Virginia University,WV,14625
Garnet Career Center,WV,800
Eastern West Virginia Community and Technical College,WV,5999
Pierpont Community and Technical College,WV,8338
Mountwest Community and Technical College,WV,4777
Kanawha Valley Community and Technical College,WV,6500
Bridgemont Community and Technical College,WV,5500
Blue Ridge Community and Technical College,WV,9000
New River Community and Technical College,WV,4300
Casper College,WY,7190
Central Wyoming College,WY,6481
Eastern Wyoming College,WY,5500
Laramie County Community College,WY,4808
Northwest College,WY,6482
Sheridan College,WY,5500
Western Wyoming Community College,WY,5126
University of Wyoming,WY,12511
